#ORDER,CNE_NAME,SYMBOL,START,STOP
1,CRCNE00000006,A,9,14
2,CRCNE00000025,E,240,246
3,CRCNE00000053:CRCNE00000052,G,197,202
4,CRCNE00000055,0,23,30
5,CRCNE00000055,K,198,203
6,CRCNE00000055,K,292,297
7,CRCNE00000055,0,428,435
8,CRCNE00000056,0,62,69
9,CRCNE00000056,Q,68,74
10,CRCNE00000056,2,187,194
11,CRCNE00000056,A,206,211
12,CRCNE00000056,O,252,257
13,CRCNE00000056,B,271,276
14,CRCNE00000058,0,27,34
15,CRCNE00000058,0,43,50
16,CRCNE00000060,A,79,84
17,CRCNE00000060,C,162,169
18,CRCNE00000061,I,21,28
19,CRCNE00000061,I,54,61
20,CRCNE00000066,K,13,18
21,CRCNE00000066,I,39,46
22,CRCNE00000066,A,159,164
23,CRCNE00000066,K,287,292
24,CRCNE00000072:CRCNE00000073:CRCNE00000149,G,5,10
25,CRCNE00000072:CRCNE00000073:CRCNE00000149,E,94,100
26,CRCNE00000072:CRCNE00000073:CRCNE00000149,K,268,273
27,CRCNE00000077,3,46,52
28,CRCNE00000079,0,100,107
29,CRCNE00000079,R,144,150
30,CRCNE00000082:CRCNE00000083,Q,49,55
31,CRCNE00000089,G,20,25
32,CRCNE00000089,O,93,98
33,CRCNE00000090,D,3,10
34,CRCNE00000090,K,5,10
35,CRCNE00000090,G,64,69
36,CRCNE00000090,H,66,75
37,CRCNE00000090,G,68,73
38,CRCNE00000090,E,100,106
39,CRCNE00000090,G,190,195
40,CRCNE00000090,H,210,219
41,CRCNE00000090,B,270,275
42,CRCNE00000091:CRCNE00000092,0,155,162
43,CRCNE00000091:CRCNE00000092,G,234,239
44,CRCNE00000097,J,47,54
45,CRCNE00000098,3,58,64
46,CRCNE00000099:CRCNE00000175,B,28,33
47,CRCNE00000099:CRCNE00000175,H,45,54
48,CRCNE00000099:CRCNE00000175,B,57,62
49,CRCNE00000099:CRCNE00000175,5,82,88
50,CRCNE00000099:CRCNE00000175,A,119,124
51,CRCNE00000099:CRCNE00000175,U,174,180
52,CRCNE00000099:CRCNE00000175,B,212,217
53,CRCNE00000099:CRCNE00000175,B,257,262
54,CRCNE00000105,B,10,15
55,CRCNE00000119:CRCNE00000084,O,51,56
56,CRCNE00000119:CRCNE00000084,G,122,127
57,CRCNE00000126,B,51,56
58,CRCNE00000129,0,32,39
59,CRCNE00000131,G,45,50
60,CRCNE00000131,S,77,83
61,CRCNE00000131,I,89,96
62,CRCNE00000131,I,119,126
63,CRCNE00000133,A,183,188
64,CRCNE00000134,O,61,66
65,CRCNE00000134,R,92,98
66,CRCNE00000134,F,132,137
67,CRCNE00000134,B,295,300
68,CRCNE00000134,0,316,323
69,CRCNE00000134,S,377,383
70,CRCNE00000134,F,445,450
71,CRCNE00000135,B,14,19
72,CRCNE00000135,0,28,35
73,CRCNE00000135,B,92,97
74,CRCNE00000135,G,105,110
75,CRCNE00000137,5,28,34
76,CRCNE00000138,O,64,69
77,CRCNE00000138,P,75,82
78,CRCNE00000139,G,27,32
79,CRCNE00000139,G,42,47
80,CRCNE00000140:CRCNE00000141,F,65,70
81,CRCNE00000140:CRCNE00000141,O,81,86
82,CRCNE00000140:CRCNE00000141,B,172,177
83,CRCNE00000142,2,39,46
84,CRCNE00000145:CRCNE00000071,C,37,44
85,CRCNE00000145:CRCNE00000071,0,163,170
86,CRCNE00000145:CRCNE00000071,C,507,514
87,CRCNE00000145:CRCNE00000071,C,562,569
88,CRCNE00000145:CRCNE00000071,B,610,615
89,CRCNE00000145:CRCNE00000071,U,613,619
90,CRCNE00000154,G,8,13
91,CRCNE00000154,2,33,40
92,CRCNE00000154,G,69,74
93,CRCNE00000158:CRCNE00000196,0,61,68
94,CRCNE00000159,Q,5,11
95,CRCNE00000159,I,29,36
96,CRCNE00000159,0,46,53
97,CRCNE00000160,K,136,141
98,CRCNE00000161,A,48,53
99,CRCNE00000161,B,73,78
100,CRCNE00000161,0,86,93
101,CRCNE00000161,G,157,162
102,CRCNE00000171,5,105,111
103,CRCNE00000171,G,124,129
104,CRCNE00000171,0,140,147
105,CRCNE00000171,I,154,161
106,CRCNE00000171,H,179,188
107,CRCNE00000176:CRCNE00000177,U,48,54
108,CRCNE00000176:CRCNE00000177,A,150,155
109,CRCNE00000178,G,21,26
110,CRCNE00000178,A,72,77
111,CRCNE00000178,S,80,86
112,CRCNE00000178,5,102,108
113,CRCNE00000179,0,16,23
114,CRCNE00000179,H,37,46
115,CRCNE00000179,I,82,89
116,CRCNE00000198,G,5,10
117,CRCNE00000198,H,7,16
118,CRCNE00000198,K,15,20
119,CRCNE00000199,B,16,21
120,CRCNE00000202:CRCNE00000201:CRCNE00000200,O,35,40
